iter	Passed	Remaining
963	127838	4774
964	127975	4641
965	128101	4508
966	128221	4375
967	128349	4242
968	128477	4110
969	128596	3977
970	128715	3844
971	128847	3711
972	128971	3578
973	129097	3446
974	129210	3313
975	129344	3180
976	129471	3047
977	129594	2915
978	129717	2782
979	129853	2650
980	129976	2517
981	130116	2385
982	130248	2252
983	130374	2119
984	130495	1987
985	130636	1854
986	130761	1722
987	130884	1589
988	131004	1457
989	131134	1324
990	131259	1192
991	131389	1059
992	131518	927
993	131645	794
994	131766	662
995	131901	529
996	132024	397
997	132145	264
998	132281	132
999	132402	0
